ci_idx,ai_idx,distance,rank
7818,46854,0.0,0
9988,48583,0.0,0
5392,75097,0.0,0
7884,93141,0.0,0
462,98884,0.0,0
3835,28806,0.0,0
3816,90781,0.0,0
6556,80630,0.0,0
7607,52373,0.0,0
5426,24670,0.0,0
103,89725,0.0,0
4014,43594,0.0,0
1656,63795,0.0,0
589,88189,0.0,0
6737,51991,0.0,0
9099,27975,0.0,0
639,45491,0.0,0
9672,56283,0.0,0
2798,50842,0.0,0
9652,10318,0.0,0
7390,15482,0.0,0
6010,81881,0.0,0
8755,82744,0.0,0
4596,83777,0.0,0
1791,92609,0.0,0
4247,84413,0.0,0
1809,40211,0.0,0
5050,60837,0.0,0
6114,38209,0.0,0
6111,13607,0.0,0
6983,38024,0.0,0
9808,65842,0.0,0
1079,19292,0.0,0
2646,17440,0.0,0
191,19303,0.0,0
8723,23874,0.0,0
5625,72357,0.0,0
7874,97106,0.0,0
5024,77339,0.0,0
1089,96734,0.0,0
481,45174,0.0,0
9715,71831,0.00119704008102417,0
3803,51029,0.016110718250274658,0
7358,20927,0.032224029302597046,0
3357,89022,0.04610666632652283,0
5240,28254,0.04924771562218666,0
9859,77136,0.04964238405227661,0
4687,31418,0.05020679533481598,0
5344,64192,0.056661784648895264,0
8296,63761,0.05947256088256836,0
9347,92719,0.06069667637348175,0
6857,23558,0.06401339918375015,0
1290,35864,0.06434591859579086,0
9674,67620,0.0658823624253273,0
180,17866,0.0669279545545578,0
9950,84322,0.06814045459032059,0
7811,34376,0.07002736628055573,0
1862,39344,0.0731741338968277,0
6274,78112,0.0760226845741272,0
3752,84238,0.07622948288917542,0
553,69277,0.07718468457460403,0
4763,51630,0.07763852179050446,0
959,48602,0.07845298945903778,0
3145,24656,0.07919106632471085,0
995,84269,0.08017443120479584,0
1096,49831,0.08049563318490982,0
6062,3888,0.08220109343528748,0
3574,8326,0.08236364275217056,0
3306,51621,0.08265814930200577,0
829,83182,0.0828627496957779,0
5427,44157,0.08399146050214767,0
9628,82134,0.08477611839771271,0
1105,80958,0.08606185019016266,0
577,71708,0.08799350261688232,0
5968,35160,0.08811840415000916,0
6591,42150,0.08828699588775635,0
700,7104,0.08846881985664368,0
3549,52628,0.09002945572137833,0
219,28737,0.0902034342288971,0
3548,18722,0.09043753892183304,0
7961,40621,0.09062351286411285,0
8979,22784,0.09080296754837036,0
4214,33137,0.09093110263347626,0
6035,96684,0.09116482734680176,0
4922,24201,0.0924253761768341,0
9019,67013,0.09248370677232742,0
1015,40170,0.09296510368585587,0
4128,66212,0.09301642328500748,0
3296,77177,0.09316258132457733,0
5046,50587,0.09362088143825531,0
9442,78638,0.09391719102859497,0
1428,1170,0.09411916136741638,0
196,88926,0.09432557225227356,0
2682,46314,0.09447643160820007,0
2395,79349,0.0949285700917244,0
1222,61135,0.09493086487054825,0
4778,36614,0.09504877775907516,0
8639,36595,0.09536486864089966,0
7529,43281,0.0954536497592926,0
8237,62937,0.09579508751630783,0
2566,65911,0.09581689536571503,0
8425,1912,0.09650503098964691,0
5668,99715,0.09681876003742218,0
8396,69512,0.09701630473136902,0
7067,79019,0.0978148952126503,0
9507,94048,0.0978865996003151,0
7016,72711,0.0979928970336914,0
3032,40624,0.09821762889623642,0
6014,85595,0.10042747110128403,0
286,38726,0.10068782418966293,0
5409,11344,0.10102633386850357,0
5639,36451,0.10151273757219315,0
1507,48694,0.10176259279251099,0
1450,45465,0.10200802981853485,0
57,78300,0.10230106115341187,0
2008,90942,0.10236718505620956,0
7230,47643,0.10276827961206436,0
677,31528,0.10294172167778015,0
679,31392,0.10331372916698456,0
2322,31963,0.10334821045398712,0
1402,23497,0.10388555377721786,0
2274,30235,0.10406675189733505,0
352,26292,0.1043778657913208,0
8835,71175,0.10469315946102142,0
7386,73676,0.10469649732112885,0
6756,14044,0.10496609658002853,0
3693,12424,0.1053011491894722,0
3750,14946,0.10538145154714584,0
5170,4399,0.10540645569562912,0
4388,79359,0.10576218366622925,0
7233,5296,0.10579109936952591,0
1091,89210,0.10607925057411194,0
8783,54335,0.10624007880687714,0
6948,44226,0.10669689625501633,0
1206,72310,0.10710369050502777,0
3981,17143,0.10770783573389053,0
309,84218,0.10776497423648834,0
8526,12462,0.10777289420366287,0
5340,93585,0.10850174725055695,0
5586,90490,0.1085057258605957,0
1903,63164,0.10863873362541199,0
8285,2217,0.10890626907348633,0
1358,95370,0.10975412279367447,0
1771,24857,0.11003315448760986,0
8981,81928,0.11004041135311127,0
8110,37785,0.11004132032394409,0
5790,33610,0.11035658419132233,0
7240,54819,0.11054739356040955,0
2687,60572,0.11059702932834625,0
265,46256,0.11136239767074585,0
492,44956,0.1114879846572876,0
9882,61919,0.11159972846508026,0
4265,12829,0.11164598912000656,0
7657,68197,0.11179355531930923,0
8358,82960,0.11189301311969757,0
8904,4260,0.11193160712718964,0
317,3967,0.11202789098024368,0
4912,95888,0.11204756796360016,0
7107,24996,0.11209192126989365,0
5116,97781,0.1123974546790123,0
4011,95569,0.11289608478546143,0
4165,59434,0.11290886998176575,0
6412,29545,0.11307503283023834,0
9624,84971,0.11310017108917236,0
7567,50017,0.11369074881076813,0
6343,9310,0.11376499384641647,0
8778,50609,0.11379581689834595,0
9657,27401,0.1144869476556778,0
6543,41927,0.11481452733278275,0
4181,2176,0.11526764929294586,0
3620,33041,0.11611782759428024,0
8187,36450,0.11616603285074234,0
7710,87401,0.11617112904787064,0
5181,73818,0.116366907954216,0
2134,84397,0.11666981875896454,0
8176,89589,0.11670156568288803,0
9295,16160,0.11683955788612366,0
2824,28675,0.11690980941057205,0
7968,83858,0.11738624423742294,0
6549,35281,0.11760924756526947,0
1117,74187,0.11796429753303528,0
9137,98165,0.11826249957084656,0
588,49477,0.11843717843294144,0
5842,42374,0.11860184371471405,0
5605,33129,0.11869142204523087,0
7651,6544,0.11889395862817764,0
1838,17116,0.11896607279777527,0
8726,4723,0.11925192177295685,0
4153,27924,0.1193045824766159,0
1313,44927,0.11947119235992432,0
7773,53455,0.11956243216991425,0
670,15407,0.11985889822244644,0
758,81878,0.12017033994197845,0
7338,91694,0.12030884623527527,0
8260,92749,0.12043800204992294,0
2765,25863,0.12044751644134521,0
1547,4637,0.12052564322948456,0
8175,20125,0.12102165073156357,0
1968,32019,0.1212373673915863,0
1616,94552,0.12137981504201889,0
9619,67157,0.12145766615867615,0
7054,1648,0.12146233022212982,0
8431,5254,0.12186300754547119,0
5142,25382,0.12192781269550323,0
9235,51976,0.12210845202207565,0
3625,1664,0.12248332798480988,0
797,96971,0.12259369343519211,0
1115,99456,0.12266092002391815,0
6314,91151,0.12267003953456879,0
4103,31088,0.12275990098714828,0
1820,14259,0.12287559360265732,0
2956,89360,0.12289608269929886,0
5512,38894,0.12352236360311508,0
5144,6560,0.12371838092803955,0
3168,60395,0.12376096099615097,0
2097,21342,0.12380761653184891,0
5395,93165,0.12387686967849731,0
1158,697,0.12400255352258682,0
4761,17413,0.12454357743263245,0
379,39811,0.12471714615821838,0
9871,33975,0.12483267486095428,0
7124,27134,0.12488850951194763,0
3926,61763,0.12499260902404785,0
3665,92509,0.1250533014535904,0
4225,66070,0.1250772327184677,0
223,8471,0.12517693638801575,0
4126,68131,0.12525565922260284,0
6854,3393,0.12552444636821747,0
3124,19533,0.1255265474319458,0
4695,21174,0.1256558895111084,0
1276,97515,0.1257818341255188,0
9024,38448,0.12598466873168945,0
9124,67908,0.1260780394077301,0
7462,88881,0.12611426413059235,0
1429,55479,0.1262158304452896,0
1999,84427,0.1263606995344162,0
5483,54419,0.12637002766132355,0
9978,88425,0.12640711665153503,0
5766,76136,0.1264244019985199,0
8603,75162,0.12705372273921967,0
1585,45626,0.1271909773349762,0
