ci_idx,ai_idx,distance,rank
1724,45548,0.008408909663558006,0
7648,21838,0.009735098108649254,0
5218,58815,0.014797468669712543,0
8407,43037,0.016469791531562805,0
9680,60465,0.01667403057217598,0
5364,41067,0.017428452149033546,0
6762,15713,0.017610838636755943,0
368,32566,0.01817491464316845,0
5997,54213,0.018724115565419197,0
3941,24885,0.01874130219221115,0
6105,90944,0.019170574843883514,0
3898,66582,0.019183456897735596,0
3278,32569,0.020255839452147484,0
2953,53548,0.020460939034819603,0
4930,4193,0.02084660530090332,0
3678,43707,0.02092515118420124,0
1076,43231,0.020975319668650627,0
1725,65062,0.02122567407786846,0
403,39288,0.02148870937526226,0
7217,47567,0.02164304256439209,0
1923,57042,0.021776573732495308,0
2018,850,0.0218370221555233,0
8563,35902,0.022792376577854156,0
2366,94643,0.022885119542479515,0
9257,8543,0.02291777729988098,0
751,64582,0.023079052567481995,0
7350,97510,0.02310379594564438,0
2872,82544,0.023114174604415894,0
4050,43747,0.023228084668517113,0
4845,91232,0.02384006604552269,0
275,96593,0.023897698149085045,0
4056,2275,0.02394707500934601,0
6197,30091,0.023963486775755882,0
5409,63917,0.02414226159453392,0
9965,37822,0.024208297953009605,0
7803,42719,0.02428303472697735,0
349,75021,0.024292172864079475,0
7866,87781,0.024602122604846954,0
9186,97195,0.02464606799185276,0
2469,95770,0.024671033024787903,0
7225,25842,0.024816498160362244,0
6148,81565,0.02490583062171936,0
2059,49299,0.025062836706638336,0
6149,56210,0.025117747485637665,0
1284,2377,0.02520841732621193,0
3480,57087,0.025232335552573204,0
2371,1624,0.025403771549463272,0
5440,19501,0.02545923739671707,0
7954,965,0.02554103173315525,0
7492,5249,0.025810876861214638,0
3160,45134,0.02614162676036358,0
3435,95197,0.026251133531332016,0
8344,1712,0.026295334100723267,0
3465,8048,0.02634265646338463,0
4047,70683,0.026350490748882294,0
6878,65922,0.02640577405691147,0
2208,17925,0.026499446481466293,0
6661,1892,0.026557039469480515,0
807,41283,0.026654288172721863,0
4500,43087,0.02680845558643341,0
1393,41589,0.026843687519431114,0
5157,97209,0.02695671282708645,0
5348,7381,0.026973461732268333,0
4840,75833,0.02706233412027359,0
9827,41876,0.02713388204574585,0
8994,54416,0.027243131771683693,0
8593,75960,0.02724716067314148,0
2567,3146,0.027575118467211723,0
2697,14829,0.027677001431584358,0
4631,10738,0.028060197830200195,0
6836,74247,0.02809271775186062,0
7130,58686,0.02809276059269905,0
2310,65875,0.028105858713388443,0
1816,79257,0.028106313198804855,0
5791,84226,0.02813926711678505,0
9481,99308,0.028256619349122047,0
2462,6694,0.028290770947933197,0
9614,37328,0.028295578435063362,0
8468,75855,0.028413385152816772,0
304,44268,0.028462963178753853,0
2502,26808,0.028462974354624748,0
8399,33474,0.028493840247392654,0
5501,65042,0.028643321245908737,0
3713,6699,0.028707213699817657,0
6230,51557,0.028763744980096817,0
9704,34110,0.028774995356798172,0
4657,20202,0.029095560312271118,0
8121,79496,0.029135266318917274,0
7517,41051,0.029141124337911606,0
7843,45968,0.02935921773314476,0
4308,81245,0.029386218637228012,0
3848,32722,0.02941965125501156,0
2494,20143,0.029439648613333702,0
7104,73331,0.029514584690332413,0
144,18831,0.029570836573839188,0
6850,65968,0.02957233227789402,0
7992,56527,0.02961026504635811,0
9367,66912,0.029706323519349098,0
8870,89123,0.029834063723683357,0
1979,73112,0.02994818240404129,0
6055,66664,0.029970992356538773,0
3136,88009,0.029985351487994194,0
4814,59316,0.03013223595917225,0
8398,30050,0.030314601957798004,0
2813,4338,0.030377207323908806,0
9811,27026,0.030425192788243294,0
6566,2041,0.03054887428879738,0
8363,35662,0.03073928877711296,0
9167,35645,0.030761709436774254,0
9912,62601,0.030805839225649834,0
8905,60454,0.030888929963111877,0
3520,52035,0.031057722866535187,0
2946,73613,0.031062278896570206,0
1551,62005,0.031176431104540825,0
4518,29090,0.031187310814857483,0
3498,73313,0.03128308057785034,0
9676,13049,0.03128727898001671,0
4046,60309,0.03131869435310364,0
1708,56426,0.0313648022711277,0
2801,57705,0.03137759864330292,0
4161,55079,0.03140025585889816,0
9565,73472,0.03151410073041916,0
1332,29294,0.031540192663669586,0
9797,20350,0.0315755233168602,0
5999,70456,0.031578585505485535,0
7540,87260,0.03159854933619499,0
5544,13538,0.03163773939013481,0
3989,1022,0.031674571335315704,0
839,97924,0.03170737624168396,0
2525,1939,0.03173269331455231,0
4607,41793,0.03173850476741791,0
6119,49829,0.03174067661166191,0
238,26565,0.031747907400131226,0
5241,60215,0.03180013597011566,0
2648,63332,0.03181345760822296,0
7791,73315,0.03188202157616615,0
1262,51974,0.03191845118999481,0
2440,92974,0.031919125467538834,0
861,29261,0.03198320418596268,0
6137,31438,0.03201879560947418,0
2041,47043,0.032023925334215164,0
5863,3097,0.03206055983901024,0
8397,46385,0.03206860274076462,0
6980,83980,0.032099105417728424,0
1834,19028,0.03210524842143059,0
3744,21358,0.03216037526726723,0
4797,14271,0.03217091038823128,0
2578,61105,0.032177094370126724,0
1322,78164,0.03220207989215851,0
6516,68483,0.03224990516901016,0
9318,84752,0.03227933868765831,0
3229,25459,0.03228532895445824,0
6629,3466,0.03229937702417374,0
7384,27807,0.032335396856069565,0
6420,76403,0.0323420986533165,0
3552,71433,0.032372936606407166,0
5468,97175,0.03242889791727066,0
2319,78889,0.03256744518876076,0
7999,85949,0.032610319554805756,0
4652,49822,0.032644808292388916,0
3755,31560,0.03270217776298523,0
7141,62259,0.03279464691877365,0
7013,99569,0.03282333165407181,0
1095,95236,0.03284712880849838,0
4407,95369,0.03285433351993561,0
7415,31538,0.03288324549794197,0
9355,51410,0.03290477767586708,0
8926,7794,0.03290851414203644,0
1922,30295,0.03291303291916847,0
2089,75296,0.032943643629550934,0
357,94156,0.03299397975206375,0
6082,27153,0.033031996339559555,0
2186,36094,0.03307187557220459,0
3753,54887,0.033086780458688736,0
8734,27604,0.033166948705911636,0
7858,40175,0.03322002664208412,0
8447,92650,0.03323039785027504,0
5304,55044,0.03323660418391228,0
7383,22763,0.03325692564249039,0
7223,66851,0.03334859013557434,0
2032,30275,0.033366456627845764,0
1214,95120,0.033384550362825394,0
3046,90661,0.03338560461997986,0
3205,97448,0.03339379280805588,0
5560,79101,0.03339991718530655,0
2194,93160,0.03347153589129448,0
7990,52350,0.03348889201879501,0
9285,80271,0.03349115699529648,0
5538,17271,0.033492375165224075,0
976,50161,0.033513590693473816,0
1560,59134,0.03364534303545952,0
3789,29420,0.033661700785160065,0
9447,37411,0.03372132033109665,0
9520,88667,0.03372462838888168,0
6206,47011,0.033751875162124634,0
8514,64811,0.033758942037820816,0
9452,54119,0.03382201865315437,0
4441,82361,0.033829282969236374,0
3143,31510,0.033910080790519714,0
7148,33546,0.033913370221853256,0
1440,68273,0.033934686332941055,0
7658,26155,0.033961474895477295,0
5498,9296,0.033980049192905426,0
6328,63593,0.033985961228609085,0
2964,54457,0.034002721309661865,0
4967,75643,0.03400719165802002,0
