ci_idx,ai_idx,distance
0,68758,0.0067809948139050434
1,81076,0.010822457003053428
2,56593,0.00949224498378783
3,50709,0.00755761774440584
4,88366,0.008896613348334664
5,77083,0.010671023112911035
6,36513,0.012932690015505956
7,85588,0.014441939052765283
8,4539,0.011636595184292536
9,76709,0.01182450422762327
10,36307,0.009982725909441555
11,14952,0.011051842675814483
12,62514,0.006739542880278484
13,42419,0.008957041648111758
14,76299,0.008982750979594892
15,12750,0.007868099684732763
16,47727,0.007273277687401983
17,20755,0.005894544115656639
18,22246,0.007143605108565003
19,84485,0.006091789290057834
20,29234,0.006552210792671608
21,20779,0.00645946591591309
22,35566,0.006828352759839084
23,55766,0.007200789189905315
24,77871,0.008326120664179162
25,30841,0.009056471223258051
26,86942,0.009650958731527192
27,76413,0.009487804400350425
28,87219,0.01148486722860456
29,49681,0.012183074841985664
30,82477,0.01103202059409723
31,99402,0.010985120389628076
32,54924,0.008020374676719271
33,75343,0.008142114286509974
34,63891,0.00838978029331568
35,52781,0.009010850138222032
36,8187,0.022568715461739053
37,25846,0.020270618519314144
38,33684,0.027236376243285204
39,73787,0.023372611963001836
40,60550,0.01094824490933461
41,66079,0.01028457566681112
42,26894,0.024970380486187996
43,55257,0.016493444246900538
44,71199,0.05452235709876183
45,18485,0.039694827292965966
46,50234,0.041802832821515624
47,31027,0.06304011298079783
48,98496,0.004636607354318813
49,98451,0.0046489038095555504
50,49984,0.005622637151101466
51,84643,0.0037635287679768674
52,94423,0.009672242445469617
53,71272,0.009837453465480553
54,52858,0.008596810921366051
55,65119,0.007278976610669205
56,68371,0.02249218360254876
57,75075,0.02309642478915986
58,31423,0.019505259295981892
59,84374,0.02313947732330323
60,79802,0.00566182135359823
61,32221,0.006719503045044086
62,76332,0.006920446446380712
63,72569,0.007790270630596492
64,47772,0.006576554005849512
65,16863,0.007495501276772098
66,292,0.006655293351572578
67,84234,0.006982147513762015
68,94397,0.0055605528473214256
69,30397,0.004299154690901964
70,24182,0.009809891180770905
71,18829,0.0060057473588379946
72,92386,0.020210885462883122
73,45137,0.02552091622293881
74,83480,0.022451564156554908
75,37440,0.023475694930193552
76,75913,0.006083810841968468
77,10578,0.00890021034402036
78,79323,0.006837088881466689
79,76123,0.007373047649652246
80,7795,0.003492961788406989
81,9225,0.006435107156261407
82,23843,0.006531482053369135
83,10011,0.008530963155284118
84,88312,0.015375466483520284
85,42271,0.017016691885833934
86,24128,0.01445209413598231
87,22248,0.01757019586287685
88,20468,0.005599518268637244
89,85500,0.006493223149506463
90,60770,0.006668199598874794
91,5435,0.007168753918568696
92,71949,0.006791254814299633
93,97312,0.008212483552222545
94,23061,0.008289566330618496
95,65532,0.007474230074449055
96,69643,0.011642570263320308
97,60455,0.013429222353412904
98,45530,0.015080091376176219
99,11524,0.009083817637122689
100,19762,0.0041669128842195795
101,96442,0.005356620503179718
102,28307,0.00532078475571189
103,73938,0.0040439925769105425
104,46027,0.005437222336620385
105,2447,0.008268271894753949
106,37161,0.009754132017870955
107,3747,0.009106421687207052
108,9139,0.01276813053789331
109,35560,0.013985542773339571
110,42951,0.015695578990680505
111,88340,0.011317486482951444
112,27151,0.011888110946833142
113,13265,0.0069912065222885065
114,96450,0.012331532381228031
115,77053,0.012521181189890752
116,57955,0.012519765623857263
117,90307,0.009723340331727753
118,43405,0.0134714481670614
119,75081,0.010063192052255308
120,82375,0.009501105635058944
121,23396,0.010215925943453595
122,78636,0.010753592211391678
123,57007,0.011077935961557567
124,56929,0.010496441927799076
125,85311,0.010785090525434336
126,36594,0.010824998613794951
127,3969,0.010831630849796919
128,30786,0.004917852682176162
129,7957,0.005650436666861405
130,46405,0.007315916435779186
131,49104,0.006916212669618744
132,27816,0.005837997259355974
133,64026,0.005885474725301967
134,22369,0.007612073408330022
135,2033,0.00782983440563145
136,43271,0.006890421891330817
137,67933,0.0071167284240227745
138,24267,0.008380459614272133
139,74411,0.0062386844697124985
140,30659,0.0065034532550303755
141,8421,0.006254620888316961
142,76658,0.007820288883254457
143,1786,0.005941549008060591
144,67783,0.01283855945662099
145,80067,0.015327382423133364
146,72006,0.015953349220591648
147,80561,0.018797979258844154
148,97821,0.005142049757662103
149,73564,0.003550900919403137
