ci_idx,ai_idx,distance
0,93514,0.009844094122607373
1,78525,0.00968188964996327
2,7726,0.013268336207932864
3,83885,0.011608305889887073
4,81200,0.013674493734950086
5,45549,0.04923303104695492
6,9523,0.018896048382465263
7,36095,0.01049295547173357
8,23155,0.008164807193688813
9,66273,0.02694530541709612
10,48175,0.011045874430426306
11,58500,0.004512554612038125
12,98792,0.011992657876512002
13,37054,0.06522654457124168
14,42729,0.009065906405207208
15,71823,0.036699785068332276
16,41167,0.055267008116711036
17,24498,0.014316270895390636
18,95588,0.018551616956805198
19,64711,0.0453903171979879
20,46385,0.010390170403908595
21,82422,0.01521197570729726
22,11343,0.008700129696846259
23,97727,0.03872784580647312
24,81547,0.020443277306539276
25,8086,0.011418409665075154
26,77516,0.015942498164525018
27,36064,0.06847363765856168
28,46448,0.04835018527186318
29,16838,0.010563354954124422
30,35323,0.006946514287608906
31,98576,0.009597547685275955
32,32801,0.029984229976155664
33,69923,0.04817302865273978
34,76004,0.0103477145628128
35,33167,0.007221697051025069
36,29343,0.01502374170562771
37,89232,0.008317595321573074
38,61099,0.03259104566527547
39,49527,0.03495558216333818
40,12167,0.007183892845020988
41,51963,0.012951015111447067
42,87993,0.04568172124044809
43,93637,0.0091727007511056
44,31098,0.011009852525542183
45,33867,0.018836522519971033
46,83951,0.02796801812007327
47,15566,0.014132585934745104
48,40129,0.00992771539463222
49,61963,0.01250719834797026
50,12464,0.047225413699510936
51,48359,0.006400808076311628
52,99327,0.008397965568825858
53,40566,0.007497267792765586
54,59598,0.023653945712462637
55,69782,0.021704469057925987
56,78684,0.00525461672837175
57,77644,0.008919133311825849
58,95525,0.004460067871385103
59,23694,0.0063423064361075865
60,42424,0.04572443085597363
61,11748,0.003111368386332515
62,31239,0.012890280976795492
63,57211,0.015794608445517645
64,78495,0.006866593554842242
65,70691,0.014382129562988039
66,48920,0.02481455022632173
67,37038,0.0076901933552804445
68,73932,0.029737757428270367
69,36366,0.006516643731709238
70,79109,0.014081463735969486
71,75082,0.019067831067641473
72,16434,0.04955293443358577
73,23951,0.016807050203182138
74,20729,0.05859486436907915
75,22250,0.007564756904920803
76,78917,0.07894110395836453
77,85710,0.02154319400734837
78,97824,0.008745282718004661
79,30038,0.007476371788714851
80,27006,0.054007117806431096
81,54500,0.006506118733559371
82,95903,0.017052507208665052
83,57288,0.009856097631520141
84,45372,0.020645532802419837
85,63429,0.012022716790884545
86,34287,0.006501391526301458
87,88785,0.030601344676986688
88,25547,0.006664617933367742
89,26729,0.030905457168340127
90,85626,0.009929810846842524
91,46725,0.004509908708820553
92,27815,0.00753885215143123
93,7291,0.016212764040054305
94,64176,0.020694736037424676
95,16653,0.035968715957563714
96,35956,0.026243694431121605
97,30298,0.01445583267076016
98,51667,0.006067712476195003
99,18715,0.01052005063184801
100,69991,0.01252241411681251
101,4664,0.009196971622951307
102,59151,0.025155962492748495
103,86135,0.04868411049174962
104,38094,0.023262784563376
105,24018,0.004468250616397552
106,89128,0.010315427214024054
107,91505,0.014446719587642947
108,38276,0.022378385473505933
109,22770,0.0057457637766518055
110,37314,0.024183620703671537
111,6048,0.010135520788712287
112,53493,0.01668946566400319
113,72642,0.049161534049244206
114,74033,0.009342624919253903
115,47631,0.010267701661208928
116,740,0.018962532980805302
117,74688,0.01636964912860426
118,57888,0.011837195919414102
119,27970,0.006788744893048049
120,38418,0.01527839330504023
121,30565,0.030067760984321498
122,18314,0.021012188222473412
123,41309,0.014609092078687717
124,48478,0.0065027178386128795
125,57052,0.021605565866938625
126,272,0.013950339427787284
127,10491,0.022505268954142583
128,90387,0.006400776965453567
129,16816,0.05646918730645307
130,79381,0.024331869134756635
131,33960,0.0387611899548323
132,23920,0.006468781079011265
133,47918,0.05810460149280669
134,12782,0.011562748460526379
135,22248,0.01511762944149626
136,41824,0.027665988608125875
137,99106,0.02580625620095134
138,38674,0.055077504487227806
139,44419,0.057321227536015984
140,21188,0.023161192838303955
141,65591,0.02812926959069034
142,65523,0.004036673508397106
143,99170,0.003429043941716943
144,71126,0.001931796079710632
145,63699,0.033444255240757594
146,61949,0.008117016747200799
147,48935,0.04570122247818158
148,2427,0.0175039278410779
149,60382,0.01658321736674746
150,1752,0.038288020336028836
151,53833,0.010674658601694097
152,8291,0.016163838368395207
153,27381,0.044814071659594654
154,41844,0.015946649962355508
155,22079,0.026257026240834452
156,86801,0.018625494059813404
157,61258,0.010587659454592564
158,61085,0.01794481523605121
159,42144,0.05100331155022425
160,78708,0.02367178535326285
161,2435,0.03758374100735169
162,6352,0.007632596008540512
163,43285,0.018322690320114916
164,66712,0.02222895318746798
165,32833,0.0060671650776106
166,14082,0.019375753689633464
167,38413,0.01301410579694356
168,83656,0.01348925497188172
169,58256,0.006288846901585725
