ai_idx,score,greedy_match,greedy_dist,pred_sel,conf_sel,conf_abs_err
34199,-0.02390545344678685,1,0.023112481459975243,1,1,0.0007929719868116081
18495,-0.03184654307551682,1,0.029303664341568947,1,1,0.002542878733947873
26780,-0.03281894628889859,1,0.03256441280245781,1,1,0.0002545334864407778
82727,-0.03399354562861845,1,0.033572953194379807,1,1,0.00042059243423864245
72970,-0.0350907570682466,1,0.03308030217885971,1,1,0.0020104548893868923
72855,-0.0351911492907675,1,0.03496726229786873,1,1,0.00022388699289876968
99499,-0.036608516704291105,1,0.03346456587314606,1,1,0.003143950831145048
62489,-0.036750030936673284,1,0.036352675408124924,1,1,0.00039735552854835987
16750,-0.036781467439141124,1,0.036070238798856735,1,1,0.0007112286402843893
80203,-0.036890729097649455,1,0.033946193754673004,1,1,0.002944535342976451
67584,-0.03695830162905622,1,0.03674028813838959,1,1,0.00021801349066663533
1640,-0.0377841186709702,1,0.030571646988391876,1,1,0.007212471682578325
1901,-0.039086984004825354,1,0.03771171718835831,1,1,0.0013752668164670467
71897,-0.04006879427470267,1,0.03816300258040428,1,1,0.0019057916942983866
12870,-0.04052312299609184,1,0.03526817634701729,1,1,0.0052549466490745544
45524,-0.041026496910490096,1,0.0395519994199276,1,1,0.0014744974905624986
87196,-0.0412774165160954,1,0.03662519529461861,1,1,0.004652221221476793
45874,-0.04170317202806473,1,0.030806293711066246,1,1,0.010896878316998482
28924,-0.041726263239979744,1,0.03854680061340332,1,1,0.0031794626265764236
91188,-0.0419204153586179,1,0.04113452136516571,1,1,0.0007858939934521914
74398,-0.04199192134547047,1,0.04150544852018356,1,1,0.00048647282528690994
29313,-0.04211980181571562,1,0.04203822463750839,1,1,8.15771782072261e-05
27060,-0.042920928448438644,1,0.0412137471139431,1,1,0.0017071813344955444
83586,-0.04295146546792239,1,0.04170943796634674,1,1,0.0012420275015756488
86043,-0.04297732701525092,1,0.04228145256638527,1,1,0.0006958744488656521
4025,-0.043028031475842,1,0.04072614014148712,1,1,0.0023018913343548775
51666,-0.0430912203155458,1,0.042165786027908325,1,1,0.0009254342876374722
95986,-0.04366612830199301,1,0.04082844778895378,1,1,0.0028376805130392313
7279,-0.043925122008658946,1,0.04289049655199051,1,1,0.0010346254566684365
25623,-0.044038271546014585,1,0.043797824531793594,1,1,0.00024044701422099024
437,-0.04407020809594542,1,0.042911089956760406,1,1,0.0011591181391850114
87185,-0.044461329467594624,1,0.0375419482588768,1,1,0.006919381208717823
753,-0.04457398992963135,1,0.04270553216338158,1,1,0.0018684577662497759
53296,-0.044912363577168435,1,0.044587086886167526,1,1,0.0003252766910009086
22406,-0.04505278472061036,1,0.04495486989617348,1,1,9.791482443688437e-05
3879,-0.045063224621117115,1,0.03680714964866638,1,1,0.008256074972450733
35186,-0.04554832960275235,1,0.045449160039424896,1,1,9.91695633274503e-05
90569,-0.04557384777581319,1,0.04541529715061188,1,1,0.0001585506252013147
21183,-0.045800160616636276,1,0.03717928007245064,1,1,0.008620880544185638
48272,-0.046411085582803935,1,0.04590917006134987,1,1,0.000501915521454066
85820,-0.04644534271210432,1,0.04495200142264366,1,1,0.001493341289460659
17077,-0.046971330884844065,1,0.041979819536209106,1,1,0.004991511348634958
32627,-0.04725435981526971,1,0.04177181050181389,1,1,0.00548254931345582
94581,-0.047517156577669084,1,0.047384850680828094,1,1,0.0001323058968409896
54212,-0.047559300786815584,1,0.04701688140630722,1,1,0.0005424193805083632
9511,-0.047660961048677564,1,0.04546191543340683,1,1,0.002199045615270734
25562,-0.0477678251627367,1,0.04745529219508171,1,1,0.00031253296765498817
69036,-0.04810176452156156,1,0.04784633591771126,1,1,0.0002554286038503051
95484,-0.048135911114513874,1,0.04505635425448418,1,1,0.0030795568600296974
24598,-0.04831639339681715,1,0.046461351215839386,1,1,0.0018550421809777617
67169,-0.04837480094283819,1,0.04515129327774048,1,1,0.0032235076650977135
38059,-0.048616850981488824,1,0.0453374907374382,1,1,0.003279360244050622
2626,-0.0487778550668736,1,0.04867371544241905,1,1,0.00010413962445454672
64626,-0.04881134652532637,1,0.04729803279042244,1,1,0.0015133137349039316
54230,-0.04899434861727059,1,0.04673881083726883,1,1,0.0022555377800017595
90805,-0.04930348653579131,1,0.04913099855184555,1,1,0.00017248798394575715
93214,-0.049692385364323854,1,0.04707891494035721,1,1,0.002613470423966646
2841,-0.04979510558769107,1,0.04583411291241646,1,1,0.0039609926752746105
20387,-0.04981591645628214,1,0.04799283668398857,1,1,0.0018230797722935677
57335,-0.049900286830961704,1,0.049115970730781555,1,1,0.0007843161001801491
42198,-0.050191971531603485,1,0.049481406807899475,1,1,0.0007105647237040102
40663,-0.05025249463506043,1,0.0477178692817688,1,1,0.0025346253532916307
53092,-0.050292470841668546,1,0.04838143661618233,1,1,0.001911034225486219
54927,-0.050325820688158274,1,0.04800419509410858,1,1,0.002321625594049692
18228,-0.05082883744034916,1,0.04971004277467728,1,1,0.001118794665671885
54177,-0.05092026077909395,1,0.05021573230624199,1,1,0.0007045284728519619
20466,-0.05111344970646314,1,0.05076684057712555,1,1,0.0003466091293375939
26198,-0.05127570638433099,1,0.04840445518493652,1,1,0.0028712511993944645
53583,-0.05132447992218658,1,0.05070985481142998,1,1,0.0006146251107566059
41850,-0.05147894355468452,1,0.04814960062503815,1,1,0.003329342929646373
82096,-0.05154999397927895,1,0.05060485005378723,1,1,0.0009451439254917204
25481,-0.05189123985473998,1,0.051582299172878265,1,1,0.00030894068186171353
73274,-0.05199156329035759,1,0.04521865397691727,1,1,0.006772909313440323
3063,-0.052206570748239756,1,0.0498756468296051,1,1,0.002330923918634653
68443,-0.052230305038392544,1,0.04460124671459198,1,1,0.007629058323800564
20349,-0.05229026614688337,1,0.04949371889233589,1,1,0.0027965472545474768
95844,-0.052484638639725745,1,0.05053568258881569,1,1,0.0019489560509100556
10094,-0.052541584824211895,1,0.051514867693185806,1,1,0.0010267171310260892
88602,-0.05261971481377259,1,0.05239523574709892,1,1,0.00022447906667366624
13994,-0.05267784232273698,1,0.05168948322534561,1,1,0.000988359097391367
21779,-0.05281029548496008,1,0.047980599105358124,1,1,0.004829696379601955
36743,-0.05281392578035593,1,0.046756524592638016,1,1,0.006057401187717915
30087,-0.052840107622614596,1,0.05272681266069412,1,1,0.00011329496192047372
91895,-0.05316649249289185,1,0.05154184252023697,1,1,0.001624649972654879
15085,-0.053285546600818634,1,0.052490346133708954,1,1,0.0007952004671096802
6513,-0.053313845535740256,1,0.05149011313915253,1,1,0.0018237323965877295
27865,-0.05353441648185253,1,0.02953392080962658,1,1,0.024000495672225952
6901,-0.05353549850406125,1,0.05327261984348297,1,1,0.0002628786605782807
23729,-0.05364698218181729,1,0.04851653054356575,1,1,0.005130451638251543
51146,-0.05365519679617137,1,0.05311239883303642,1,1,0.0005427979631349444
30428,-0.053695196635089815,1,0.05322517827153206,1,1,0.00047001836355775595
85120,-0.05373459600377828,1,0.05219821631908417,1,1,0.0015363796846941113
68389,-0.053740380331873894,1,0.04901203140616417,1,1,0.004728348925709724
6328,-0.053967907559126616,1,0.047756388783454895,1,1,0.0062115187756717205
33254,-0.054017719347029924,1,0.049511536955833435,1,1,0.004506182391196489
14789,-0.054293114226311445,1,0.0485859215259552,1,1,0.005707192700356245
92308,-0.05439262685831636,1,0.05290701985359192,1,1,0.001485607004724443
64970,-0.054903775453567505,1,0.050818849354982376,1,1,0.004084926098585129
8557,-0.05517294816672802,1,0.04030558466911316,1,1,0.01486736349761486
93520,-0.05519112735055387,1,0.053695786744356155,1,1,0.0014953406061977148
25638,-0.05524634895846248,1,0.049454741179943085,1,1,0.005791607778519392
39156,-0.05536959785968065,1,0.05043705925345421,1,1,0.004932538606226444
58231,-0.05551488138735294,1,0.053761959075927734,1,1,0.001752922311425209
34783,-0.055753492983058095,1,0.052506010979413986,1,1,0.0032474820036441088
13044,-0.05582530773244798,1,0.05426539480686188,1,1,0.0015599129255861044
6045,-0.05583717324770987,1,0.053817931562662125,1,1,0.0020192416850477457
65212,-0.05614675302058458,1,0.054956767708063126,1,1,0.0011899853125214577
32709,-0.05676236021099612,1,0.055998142808675766,1,1,0.0007642174023203552
60308,-0.0567885352356825,1,0.05643749609589577,1,1,0.0003510391397867352
90488,-0.05681701563298702,1,0.03740822896361351,1,1,0.019408786669373512
75655,-0.05685170501237735,1,0.05655740574002266,1,1,0.0002942992723546922
53461,-0.05747058456472587,1,0.05731290206313133,1,1,0.000157682501594536
50280,-0.057615522760897875,1,0.051100339740514755,1,1,0.00651518302038312
6863,-0.05797939747571945,1,0.05306662619113922,1,1,0.004912771284580231
77465,-0.05807594570796937,1,0.05653507262468338,1,1,0.0015408730832859874
69535,-0.058143279515206814,1,0.05499648675322533,1,1,0.0031467927619814873
59113,-0.058186449110507965,1,0.04372985661029816,1,1,0.014456592500209808
4453,-0.0581901929108426,1,0.05711713805794716,1,1,0.0010730548528954387
99844,-0.058527057932224125,1,0.05793587863445282,1,1,0.0005911792977713048
59546,-0.05863966653123498,1,0.058105867356061935,1,1,0.0005337991751730442
96746,-0.05866011884063482,1,0.049603309482336044,1,1,0.009056809358298779
16589,-0.058919828152284026,1,0.05657177045941353,1,1,0.0023480576928704977
18514,-0.05915569048374891,1,0.05099928006529808,1,1,0.008156410418450832
27416,-0.05978838284499943,1,0.057785723358392715,1,1,0.002002659486606717
9604,-0.0598759992280975,1,0.05911607667803764,1,1,0.000759922550059855
54976,-0.05997306853532791,1,0.051968351006507874,1,1,0.008004717528820038
11951,-0.06002536485902965,1,0.05934042111039162,1,1,0.0006849437486380339
74163,-0.060365594166796654,1,0.0601033940911293,1,1,0.0002622000756673515
48534,-0.06041133590042591,1,0.05990653485059738,1,1,0.0005048010498285294
25316,-0.06044972036033869,1,0.05988892912864685,1,1,0.0005607912316918373
737,-0.06051434751134366,1,0.059454724192619324,1,1,0.0010596233187243342
18885,-0.060559292789548635,1,0.05376709997653961,1,1,0.006792192813009024
63551,-0.06059072189964354,1,0.05807608738541603,1,1,0.0025146345142275095
36942,-0.060718921944499016,1,0.053299203515052795,1,1,0.00741971842944622
75824,-0.060826133587397635,1,0.05932680144906044,1,1,0.001499332138337195
24343,-0.060874509101267904,1,0.06032374128699303,1,1,0.0005507678142748773
52730,-0.06092447927221656,1,0.05660802498459816,1,1,0.004316454287618399
29207,-0.06100138754118234,1,0.060170985758304596,1,1,0.0008304017828777432
74455,-0.06101402232889086,1,0.0598837286233902,1,1,0.0011302937055006623
51596,-0.061031363147776574,1,0.06071024760603905,1,1,0.00032111554173752666
50294,-0.061058467836119235,1,0.05954674631357193,1,1,0.0015117215225473046
58075,-0.06107959768269211,1,0.05998761206865311,1,1,0.0010919856140390038
21172,-0.061354867182672024,1,0.051870524883270264,1,1,0.00948434229940176
32126,-0.06140937842428684,1,0.05498945340514183,1,1,0.006419925019145012
2962,-0.06143624579999596,1,0.06072770059108734,1,1,0.0007085452089086175
71455,-0.06154915627121227,1,0.0614284873008728,1,1,0.00012066897033946589
55506,-0.06161031466035638,1,0.06141318753361702,1,1,0.0001971271267393604
98804,-0.06166180572472513,1,0.06025569513440132,1,1,0.0014061105903238058
20205,-0.06168640684336424,1,0.05692044645547867,1,1,0.0047659603878855705
51679,-0.061873248108895496,1,0.06176276132464409,1,1,0.00011048678425140679
66124,-0.06189785711467266,1,0.05834280699491501,1,1,0.0035550501197576523
30877,-0.062051521614193916,1,0.04568513110280037,1,1,0.016366390511393547
47817,-0.06210747919976711,1,0.045466240495443344,1,1,0.01664123870432377
4692,-0.06213645631214604,1,0.06141185015439987,1,1,0.000724606157746166
79289,-0.062274249765323475,1,0.06190822646021843,1,1,0.00036602330510504544
51941,-0.0623869379342068,1,0.062085386365652084,1,1,0.0003015515685547143
19978,-0.06241604009846924,1,0.06232285872101784,1,1,9.31813774514012e-05
21984,-0.062473772559314966,1,0.05895942822098732,1,1,0.0035143443383276463
96371,-0.06309717358089983,1,0.06056753173470497,1,1,0.0025296418461948633
65598,-0.06316874816548079,1,0.06126590818166733,1,1,0.0019028399838134646
17207,-0.06319171941140667,1,0.06263266503810883,1,1,0.0005590543732978404
4630,-0.06321663486596663,1,0.0629991665482521,1,1,0.0002174683177145198
13930,-0.0634943162149284,1,0.06324227899312973,1,1,0.00025203722179867327
63902,-0.06357811111956835,1,0.057778310030698776,1,1,0.005799801088869572
3351,-0.06393443152774125,1,0.06264765560626984,1,1,0.001286775921471417
68262,-0.06394369062036276,1,0.05440682917833328,1,1,0.009536861442029476
16545,-0.06400472740642726,1,0.06122932955622673,1,1,0.002775397850200534
41695,-0.06405239319428802,1,0.061482369899749756,1,1,0.0025700232945382595
3860,-0.0641001018229872,1,0.06264468282461166,1,1,0.001455418998375535
49400,-0.06412879261188209,1,0.06362488865852356,1,1,0.000503903953358531
4798,-0.06423306302167475,1,0.06194453686475754,1,1,0.0022885261569172144
59936,-0.0642600953578949,1,0.04409593343734741,1,1,0.020164161920547485
79939,-0.06427999885636382,1,0.06384706497192383,1,1,0.0004329338844399899
35728,-0.06428014719858766,1,0.05843847244977951,1,1,0.0058416747488081455
38079,-0.06438156085641822,1,0.06427736580371857,1,1,0.00010419505269965157
640,-0.06441976333735511,1,0.0637272447347641,1,1,0.000692518602591008
75556,-0.06445090752094984,1,0.05464537814259529,1,1,0.00980552937835455
82726,-0.06460875365883112,1,0.05216629058122635,1,1,0.01244246307760477
14787,-0.06470433331560344,1,0.06403742730617523,1,1,0.0006669060094282031
25365,-0.06472397304605693,1,0.0628715381026268,1,1,0.0018524349434301257
2188,-0.0647390850353986,1,0.06298545747995377,1,1,0.0017536275554448366
77857,-0.06488010380417109,1,0.05705292150378227,1,1,0.007827182300388813
87727,-0.06489917868748307,1,0.057181671261787415,1,1,0.007717507425695658
54312,-0.0649350315798074,1,0.061786871403455734,1,1,0.0031481601763516665
41766,-0.0652043386362493,1,0.059087369590997696,1,1,0.006116969045251608
95210,-0.06541278341319412,1,0.0642310231924057,1,1,0.0011817602207884192
88975,-0.06541665736585855,1,0.05659136548638344,1,1,0.008825291879475117
37584,-0.06547441001748666,1,0.06508226692676544,1,1,0.0003921430907212198
8226,-0.06550308120495174,1,0.06529277563095093,1,1,0.00021030557400081307
20609,-0.06567638972774148,1,0.05899123102426529,1,1,0.006685158703476191
43951,-0.06576283043250442,1,0.06443087756633759,1,1,0.00133195286616683
15552,-0.06577331345761195,1,0.06527770310640335,1,1,0.0004956103512085974
39829,-0.06587776070227847,1,0.06558674573898315,1,1,0.00029101496329531074
478,-0.0658956365659833,1,0.0612797811627388,1,1,0.004615855403244495
