ci_idx,ai_idx,distance
0,83354,0.07458914816379547
1,53765,0.11441570520401001
2,73024,0.13344280421733856
3,38045,0.10025198012590408
4,70985,0.15654970705509186
5,31394,0.12905871868133545
6,4996,0.2525774836540222
7,60032,0.16970407962799072
8,76831,0.07249867171049118
9,64761,0.6456388235092163
10,88170,0.11760412901639938
11,74777,0.09394769370555878
12,6168,0.22606916725635529
13,9056,0.07601869106292725
14,57427,0.07491789758205414
15,79420,0.1077522337436676
16,62756,0.23811085522174835
17,17,0.12103510648012161
18,50823,0.08933854848146439
19,8593,0.17486149072647095
20,68296,0.07177817076444626
21,22017,0.08763591945171356
22,95400,0.012549832463264465
23,43480,0.11257413774728775
24,18195,0.16949869692325592
25,48210,0.2541612684726715
26,84844,0.13119253516197205
27,53951,0.18584363162517548
28,2631,0.10187264531850815
29,90050,0.15690851211547852
30,8929,0.22579067945480347
31,23736,0.19579346477985382
32,1746,0.4276054799556732
33,11282,0.13972890377044678
34,1628,0.15726922452449799
35,6019,0.12301851809024811
36,58019,0.06364351511001587
37,74781,0.4378982186317444
38,47284,0.05833259969949722
39,94744,0.09337824583053589
40,63903,0.39373600482940674
41,55650,0.17397275567054749
42,86341,0.11946584284305573
43,37020,0.061663612723350525
44,86166,0.2048535943031311
45,74355,0.12198791652917862
46,30529,0.2559276521205902
47,99870,0.1055692732334137
48,75090,0.23548389971256256
49,63177,0.2707054913043976
50,35514,0.08095038682222366
51,8769,0.10282421112060547
52,15830,0.08742202818393707
53,59299,0.2089465707540512
54,59376,0.042566023766994476
55,74126,0.12506331503391266
56,14523,0.08745336532592773
57,8750,0.34567001461982727
58,958,0.14673225581645966
59,21994,0.0475931316614151
60,28381,0.08772575855255127
61,44842,0.15886196494102478
62,11716,0.319007933139801
63,19292,0.15526580810546875
64,23420,0.09559059143066406
65,9703,0.16121503710746765
66,58695,0.09459178894758224
67,11866,0.16847087442874908
68,13660,0.23600605130195618
69,4899,0.370351105928421
70,76984,0.031144678592681885
71,74869,0.0022778864949941635
72,11972,0.19523882865905762
73,95667,0.20898304879665375
74,6065,0.20137295126914978
75,87539,0.15711264312267303
76,71914,0.44834232330322266
77,82471,0.08282223343849182
78,63897,0.20128832757472992
79,27255,0.1650262475013733
80,51707,0.7468289732933044
81,27619,0.7835935354232788
82,91100,0.10741255432367325
83,89963,0.14179910719394684
84,77935,0.3428042232990265
85,16377,0.24831420183181763
86,86377,0.10864769667387009
87,43579,0.24630694091320038
88,13352,0.1900092512369156
89,40879,0.04465369135141373
90,9374,0.1707017719745636
91,69281,0.07235465943813324
92,65529,0.15714474022388458
93,63811,0.11631383746862411
94,81057,0.10570020228624344
95,39258,0.14718496799468994
96,90710,0.10769309848546982
97,30685,0.1559925377368927
98,30215,0.18684978783130646
99,67238,0.47426462173461914
100,24696,0.42448973655700684
101,52477,0.6562677025794983
102,96434,0.11745380610227585
103,44747,0.28826799988746643
104,63619,0.08512363582849503
105,20674,0.1417640745639801
106,93684,0.1591406613588333
107,31541,0.3771636486053467
108,93502,0.10606997460126877
109,82463,0.147884339094162
110,30122,0.0969088077545166
111,18525,0.12459210306406021
112,23851,0.11753182113170624
113,27064,0.2678346335887909
114,3648,0.16775909066200256
115,87501,0.1885051429271698
116,16996,0.06771469116210938
117,44101,0.21053500473499298
118,45976,0.08200256526470184
119,93569,0.11210758239030838
120,9904,0.1557263284921646
121,34101,0.2749651372432709
122,13743,0.3164549469947815
123,13931,0.14131471514701843
124,55795,0.12406978011131287
125,50295,0.12261150777339935
126,15663,0.15325984358787537
127,15823,0.18105997145175934
128,77002,0.1308862268924713
129,48353,0.08193618059158325
130,93501,0.29290202260017395
131,58486,0.07852501422166824
132,80666,0.12188337743282318
133,83574,0.09821856021881104
134,11724,0.23279984295368195
135,54069,0.1684977412223816
136,23133,0.13847224414348602
137,99381,0.08477804809808731
138,34390,0.3495950698852539
139,353,0.13709381222724915
140,53245,0.08360640704631805
