ci_idx,ai_idx,distance,rank
9965,36790,0.0,0
4449,46235,0.0,0
3724,79705,0.0,0
5865,34117,0.0,0
649,46563,0.0,0
3409,84560,0.0,0
3406,31033,0.0,0
9473,3017,0.0,0
981,59453,0.0,0
976,50678,0.0,0
1847,11152,0.0,0
6248,84971,0.0,0
4035,30809,0.0,0
424,65677,0.0,0
8367,31918,0.0,0
8891,64677,0.0,0
9156,72804,0.0,0
9140,46142,0.0,0
9194,45308,0.0,0
9192,25828,0.0,0
1014,30278,0.0,0
7070,73350,0.0,0
1273,97255,0.0,0
467,44494,0.0,0
7581,85880,0.0,0
3932,14316,0.0,0
6484,89790,0.0,0
4787,81481,0.0,0
4741,96059,0.0,0
1116,99915,0.0,0
9121,8600,0.0,0
690,52695,0.0,0
5734,57302,0.0,0
5577,79882,0.0,0
6188,11268,0.0,0
7201,57577,0.0,0
9417,61285,0.0,0
8288,58971,0.0,0
3020,74077,0.0,0
925,83156,0.0,0
5818,32706,0.0,0
7700,60020,0.0,0
6573,90376,0.0,0
5773,11896,0.0,0
5024,13465,0.0,0
8925,60327,0.0,0
9217,11126,0.0,0
1366,77635,0.0,0
5924,25874,0.0,0
9836,63564,0.0,0
3973,60625,0.0,0
2465,57495,0.0,0
6548,78501,0.0,0
8369,78390,0.0,0
8575,79384,0.0,0
260,20340,0.0,0
7135,32348,0.00023911986500024796,0
302,64636,0.0002391200396232307,0
7760,4374,0.0005895495414733887,0
4520,52732,0.0007683061994612217,0
3177,16383,0.0009825825691223145,0
1948,73073,0.001208681147545576,0
730,24458,0.0014805197715759277,0
6359,42328,0.0019311308860778809,0
1629,66302,0.0020691342651844025,0
71,74869,0.0022778864949941635,0
3561,44536,0.002446085214614868,0
7519,50003,0.002574831247329712,0
640,15098,0.002574831247329712,0
1222,75249,0.002615518867969513,0
1140,82641,0.0027679800987243652,0
6773,86720,0.0029006600379943848,0
4925,99338,0.003218531608581543,0
9905,91240,0.003347279503941536,0
1097,74713,0.0034116506576538086,0
1531,60863,0.003733500838279724,0
9075,86237,0.003797873854637146,0
5297,88652,0.003862231969833374,0
4689,60563,0.004230529069900513,0
9201,50173,0.004505932331085205,0
2937,21739,0.005149662494659424,0
6789,12328,0.005793392658233643,0
1835,54102,0.005801290273666382,0
9094,41603,0.006408544722944498,0
1601,38849,0.006437122821807861,0
4628,16122,0.006600022315979004,0
3628,73378,0.007299269549548626,0
1857,9424,0.007299269549548626,0
5732,31353,0.007299269549548626,0
7950,89730,0.007299270015209913,0
4182,76321,0.007299270015209913,0
2178,41914,0.0072992704808712006,0
1131,27077,0.007393366657197475,0
4151,94315,0.007860898971557617,0
883,60955,0.007887423038482666,0
457,71238,0.008522316813468933,0
7529,6536,0.008897542953491211,0
3200,7584,0.009230400435626507,0
8370,39606,0.009380556643009186,0
6541,30854,0.00942349061369896,0
5769,10467,0.00965561531484127,0
9137,86262,0.009874101728200912,0
1111,4237,0.010199898853898048,0
8999,83282,0.01019992958754301,0
584,88985,0.010291069746017456,0
8393,89283,0.011209219694137573,0
5039,12297,0.011570703238248825,0
5029,3254,0.012445017695426941,0
22,95400,0.012549832463264465,0
2151,84849,0.012695548124611378,0
1439,88139,0.01363915205001831,0
573,46291,0.01370064914226532,0
6139,18755,0.014161651022732258,0
6210,87337,0.014171530492603779,0
5453,38661,0.01424318552017212,0
3404,25237,0.014598540030419827,0
3245,87993,0.014598540030419827,0
2882,1173,0.014598540961742401,0
546,72476,0.015004798769950867,0
9005,20966,0.015080800279974937,0
5713,69746,0.015481329523026943,0
2221,58502,0.015536308288574219,0
6195,72452,0.01566353440284729,0
4429,48545,0.0157337486743927,0
5131,84159,0.016067977994680405,0
3278,12902,0.016763992607593536,0
2168,51933,0.01684056594967842,0
4495,30986,0.016915885731577873,0
8382,21018,0.01729656755924225,0
3769,33390,0.018252991139888763,0
1024,86481,0.018314313143491745,0
2091,26711,0.019288761541247368,0
1467,76575,0.019311249256134033,0
7719,55930,0.019311249256134033,0
4152,43889,0.019450519233942032,0
8154,42204,0.019748203456401825,0
4536,18558,0.019786490127444267,0
8194,41271,0.020604580640792847,0
2741,70681,0.021263768896460533,0
1590,63335,0.02129017561674118,0
3763,17564,0.02206113375723362,0
3180,55797,0.02290673740208149,0
9325,93729,0.02363002300262451,0
9841,60573,0.02466573193669319,0
2691,29076,0.025322582572698593,0
2599,23783,0.025547802448272705,0
3830,55805,0.025576410815119743,0
2314,98904,0.02560422569513321,0
286,79738,0.026231195777654648,0
7970,22661,0.026287466287612915,0
5803,36943,0.026296846568584442,0
4828,24551,0.026605337858200073,0
1152,41393,0.026766598224639893,0
1553,99923,0.027470296248793602,0
8995,23817,0.028068827465176582,0
4428,43874,0.02833893708884716,0
2961,59536,0.02836492285132408,0
3764,27911,0.028482433408498764,0
4568,41588,0.02876153215765953,0
4288,42969,0.02950596809387207,0
7320,59601,0.02966567501425743,0
8714,14720,0.030374037101864815,0
4662,99619,0.030681470409035683,0
70,76984,0.031144678592681885,0
2186,53115,0.031215300783514977,0
924,11244,0.031242668628692627,0
2015,62765,0.03139936551451683,0
2947,22882,0.03173596039414406,0
488,58068,0.03174880892038345,0
3393,20385,0.03204238414764404,0
7336,10348,0.032129716128110886,0
1818,1979,0.03216719627380371,0
9178,6230,0.03255370631814003,0
5951,69537,0.03349679335951805,0
9397,69346,0.03358931094408035,0
8746,68203,0.03410704433917999,0
9085,62747,0.03416026756167412,0
3366,87186,0.03424884378910065,0
1611,797,0.03478488326072693,0
9969,33848,0.03483051806688309,0
4671,30553,0.03483595326542854,0
8850,5615,0.03499706834554672,0
8647,62789,0.0350860059261322,0
2864,33772,0.03514673560857773,0
9329,30680,0.03526945412158966,0
7367,47841,0.035275593400001526,0
3265,98587,0.035390354692935944,0
1688,60647,0.035794805735349655,0
2632,11117,0.03718534857034683,0
3575,60869,0.03746391832828522,0
4387,15166,0.037486858665943146,0
9632,2094,0.0375109501183033,0
3109,48679,0.037765927612781525,0
9758,3363,0.03789439797401428,0
4990,37884,0.038207583129405975,0
2566,13809,0.03828810155391693,0
9223,93594,0.03849956765770912,0
8801,17942,0.03853601589798927,0
6849,38561,0.038827478885650635,0
6741,56257,0.03883695602416992,0
2006,45655,0.03901305049657822,0
6542,92787,0.03946973383426666,0
743,90052,0.039624061435461044,0
7940,46087,0.03998295217752457,0
881,45631,0.04027971625328064,0
2327,66715,0.040303491055965424,0
3780,9561,0.04044630005955696,0
9827,2871,0.04045084863901138,0
8109,77515,0.04055284708738327,0
9312,86601,0.04056694731116295,0
1979,93493,0.041047997772693634,0
3295,24706,0.041197750717401505,0
5791,41627,0.0412580631673336,0
9971,11963,0.04159954562783241,0
6698,83221,0.04167897254228592,0
7499,94158,0.04178284481167793,0
5307,46477,0.04188099876046181,0
7755,46868,0.0420195609331131,0
4333,33166,0.042369503527879715,0
7294,13705,0.042428821325302124,0
54,59376,0.042566023766994476,0
8633,18404,0.04263245686888695,0
8638,50894,0.042659636586904526,0
6377,15807,0.04267048463225365,0
3933,90809,0.042906515300273895,0
9294,4570,0.04298857972025871,0
560,97133,0.04310070723295212,0
4220,88852,0.04321057349443436,0
9111,91903,0.04336801916360855,0
9893,93887,0.043418679386377335,0
5569,92174,0.043554745614528656,0
9439,71441,0.043601881712675095,0
5467,54728,0.043709442019462585,0
1565,89655,0.04394353926181793,0
1783,90402,0.04441792145371437,0
5363,38376,0.04450937360525131,0
2117,44167,0.04459612816572189,0
89,40879,0.04465369135141373,0
3395,50806,0.044670045375823975,0
6902,90840,0.044674478471279144,0
2597,52558,0.04473434016108513,0
4881,64760,0.04479503631591797,0
3458,74870,0.04505956172943115,0
7143,49349,0.04513223469257355,0
3641,9136,0.045217014849185944,0
6419,95349,0.045264292508363724,0
3224,98964,0.0454920157790184,0
2728,49571,0.045673925429582596,0
1165,87697,0.045681457966566086,0
2309,32351,0.04574384167790413,0
9266,30798,0.04584936052560806,0
2130,74780,0.04592132195830345,0
7539,26312,0.04599151015281677,0
6229,6018,0.046069059520959854,0
7780,38022,0.046140752732753754,0
9293,10425,0.046179790049791336,0
6412,41926,0.04646369069814682,0
9171,64107,0.04659922420978546,0
3305,75172,0.046631794422864914,0
1227,96347,0.046663448214530945,0
627,27599,0.0467289462685585,0
5183,51422,0.04676099866628647,0
