ci_idx,ai_idx,distance,rank
9999,95769,0.0,0
9998,63273,0.0,0
9997,81217,0.0,0
9996,95111,0.0,0
9995,69729,0.0,0
9994,67808,0.0,0
9993,65410,0.0,0
9992,80038,0.0,0
9991,87912,0.0,0
9990,13142,0.0,0
9989,38057,0.0,0
9988,85889,0.0,0
9987,14641,0.0,0
9986,66129,0.0,0
9985,71871,0.0,0
9984,71092,0.0,0
15,52552,0.0,0
14,28280,0.0,0
13,54710,0.0,0
12,77315,0.0,0
11,11525,0.0,0
10,58235,0.0,0
9,51515,0.0,0
8,93469,0.0,0
7,28224,0.0,0
6,8511,0.0,0
5,71505,0.0,0
4,88289,0.0,0
3,57816,0.0,0
2,88685,0.0,0
1,56115,0.0,0
0,8666,0.0,0
47,75175,0.0,0
46,70546,0.0,0
45,13378,0.0,0
44,45418,0.0,0
43,5177,0.0,0
42,46796,0.0,0
41,66251,0.0,0
40,91979,0.0,0
39,76591,0.0,0
38,61242,0.0,0
37,14709,0.0,0
36,56547,0.0,0
35,42082,0.0,0
34,74330,0.0,0
33,63893,0.0,0
32,85471,0.0,0
63,9869,0.0,0
62,85888,0.0,0
61,12419,0.0,0
60,97428,0.0,0
59,98389,0.0,0
58,47645,0.0,0
57,98679,0.0,0
56,61622,0.0,0
55,13417,0.0,0
54,38147,0.0,0
53,79284,0.0,0
52,69793,0.0,0
51,6946,0.0,0
50,70435,0.0,0
49,66311,0.0,0
48,58857,0.0,0
79,27664,0.0,0
78,93718,0.0,0
77,51727,0.0,0
76,55357,0.0,0
75,95167,0.0,0
74,96566,0.0,0
73,51987,0.0,0
72,77488,0.0,0
71,68227,0.0,0
70,35544,0.0,0
69,77204,0.0,0
68,75002,0.0,0
67,1187,0.0,0
66,22957,0.0,0
65,96985,0.0,0
64,77493,0.0,0
95,17451,0.0,0
94,39022,0.0,0
93,46027,0.0,0
92,77729,0.0,0
91,72282,0.0,0
90,2541,0.0,0
89,47464,0.0,0
88,9087,0.0,0
87,19558,0.0,0
86,52682,0.0,0
85,84120,0.0,0
84,15306,0.0,0
83,87616,0.0,0
82,53435,0.0,0
81,39631,0.0,0
80,61034,0.0,0
111,82675,0.0,0
110,42564,0.0,0
109,32649,0.0,0
108,30959,0.0,0
107,29856,0.0,0
106,27371,0.0,0
105,93347,0.0,0
104,91649,0.0,0
103,41267,0.0,0
102,77578,0.0,0
101,69493,0.0,0
100,67665,0.0,0
99,41185,0.0,0
98,54592,0.0,0
97,86991,0.0,0
96,81418,0.0,0
127,57201,0.0,0
126,89344,0.0,0
125,62428,0.0,0
124,9053,0.0,0
123,70425,0.0,0
122,16901,0.0,0
121,20609,0.0,0
120,31263,0.0,0
119,18615,0.0,0
118,98143,0.0,0
117,79559,0.0,0
116,17916,0.0,0
115,97066,0.0,0
114,75665,0.0,0
113,38256,0.0,0
112,18850,0.0,0
143,8537,0.0,0
142,95693,0.0,0
141,62138,0.0,0
140,64872,0.0,0
139,24068,0.0,0
138,64987,0.0,0
137,97381,0.0,0
136,45450,0.0,0
135,28104,0.0,0
134,84027,0.0,0
133,15083,0.0,0
132,84395,0.0,0
131,68222,0.0,0
130,14608,0.0,0
129,61639,0.0,0
128,57586,0.0,0
159,30894,0.0,0
158,71306,0.0,0
157,45741,0.0,0
156,60338,0.0,0
155,30027,0.0,0
154,63898,0.0,0
153,76019,0.0,0
152,1036,0.0,0
151,1743,0.0,0
150,16919,0.0,0
149,44178,0.0,0
148,88090,0.0,0
147,41054,0.0,0
146,25645,0.0,0
145,66704,0.0,0
144,82484,0.0,0
175,41180,0.0,0
174,3170,0.0,0
173,77076,0.0,0
172,23673,0.0,0
171,99814,0.0,0
170,11979,0.0,0
169,99902,0.0,0
168,88451,0.0,0
167,61246,0.0,0
166,84875,0.0,0
165,17791,0.0,0
164,14702,0.0,0
163,96375,0.0,0
162,44773,0.0,0
161,51658,0.0,0
160,6842,0.0,0
191,54766,0.0,0
190,27419,0.0,0
189,68726,0.0,0
188,74395,0.0,0
187,71358,0.0,0
186,84936,0.0,0
185,45659,0.0,0
184,79358,0.0,0
183,16204,0.0,0
182,76807,0.0,0
181,83026,0.0,0
180,70907,0.0,0
179,57506,0.0,0
178,45993,0.0,0
177,84523,0.0,0
176,43169,0.0,0
207,7841,0.0,0
206,93397,0.0,0
205,9035,0.0,0
204,94006,0.0,0
203,76789,0.0,0
202,46395,0.0,0
201,94036,0.0,0
200,61646,0.0,0
199,86978,0.0,0
198,59009,0.0,0
197,50024,0.0,0
196,71783,0.0,0
195,72601,0.0,0
194,38924,0.0,0
193,44744,0.0,0
192,17830,0.0,0
223,91019,0.0,0
222,20907,0.0,0
221,53475,0.0,0
220,32586,0.0,0
219,17314,0.0,0
218,35699,0.0,0
217,20645,0.0,0
216,34235,0.0,0
215,79514,0.0,0
214,95187,0.0,0
213,47984,0.0,0
212,74158,0.0,0
211,69585,0.0,0
210,25723,0.0,0
209,47053,0.0,0
208,86844,0.0,0
239,2880,0.0,0
238,73175,0.0,0
237,93208,0.0,0
236,18750,0.0,0
235,25670,0.0,0
234,25138,0.0,0
233,13731,0.0,0
232,99005,0.0,0
231,8997,0.0,0
230,2349,0.0,0
229,74398,0.0,0
228,42607,0.0,0
